In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
André Gomes,22,Portugal,Central Midfield,CM,€14.00m,Valencia CF,Spain,€37.00m,FC Barcelona,2016
Paco Alcácer,23,Spain,Centre-Forward,CF,€8.00m,Valencia CF,Spain,€30.00m,FC Barcelona,2016
Samuel Umtiti,22,France,Centre-Back,CB,€4.00m,Olympique Lyon,France,€25.00m,FC Barcelona,2016
Lucas Digne,22,France,Left-Back,LB,€17.00m,Paris Saint-Germain,France,€16.50m,FC Barcelona,2016
Jasper Cillessen,27,Netherlands,Goalkeeper,GK,€3.00m,Ajax Amsterdam,Netherlands,€13.00m,FC Barcelona,2016
Denis Suárez,22,Spain,Attacking Midfield,AM,€5.00m,Villarreal CF,Spain,€3.25m,FC Barcelona,2016
Sergi Samper,21,Spain,Defensive Midfield,DM,€700k,FC Barcelona B,Spain,-,FC Barcelona,2016
Álvaro Morata,23,Spain,Centre-Forward,CF,€25.00m,Juventus FC,Italy,€30.00m,Real Madrid,2016
Mariano Díaz,22,Dominican Republic,Centre-Forward,CF,€2.50m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Borja Mayoral,19,Spain,Centre-Forward,CF,€9.00m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Marcos Llorente,21,Spain,Central Midfield,CM,€35.00m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Martin Ødegaard,18,Norway,Attacking Midfield,AM,€80.00m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Kévin Gameiro,29,France,Centre-Forward,CF,€1.50m,Sevilla FC,Spain,€32.00m,Atlético de Madrid,2016
Nico Gaitán,28,Argentina,Attacking Midfield,AM,€300k,SL Benfica,Portugal,€25.00m,Atlético de Madrid,2016
Sime Vrsaljko,24,Croatia,Right-Back,RB,-,US Sassuolo,Italy,€14.00m,Atlético de Madrid,2016
Diogo Jota,19,Portugal,Left Winger,LW,€55.00m,FC Paços de Ferreira,Portugal,€7.00m,Atlético de Madrid,2016
Axel Werner,20,Argentina,Goalkeeper,GK,€800k,Atlético de Rafaela,Argentina,€800k,Atlético de Madrid,2016
Fernando Torres,32,Spain,Centre-Forward,CF,-,AC Milan,Italy,free transfer,Atlético de Madrid,2016
Theo Hernández,18,France,Left-Back,LB,€60.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2016
Amath Ndiaye,19,Senegal,Left Winger,LW,€2.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2016
Iñigo Lekue,23,Spain,Right-Back,RB,€3.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Enric Saborit,24,Spain,Left-Back,LB,€800k,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Unai López,20,Spain,Central Midfield,CM,€4.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Ager Aketxe,22,Spain,Attacking Midfield,AM,€800k,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Mikel Vesga,23,Spain,Defensive Midfield,DM,€5.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Yeray Álvarez,21,Spain,Centre-Back,CB,€15.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Álex Remiro,21,Spain,Goalkeeper,GK,€25.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Roberto Soriano,25,Italy,Attacking Midfield,AM,€3.50m,UC Sampdoria,Italy,€13.75m,Villarreal CF,2016
Nicola Sansone,24,Italy,Left Winger,LW,€1.50m,US Sassuolo,Italy,€13.00m,Villarreal CF,2016
Alfred N'Diaye,26,Senegal,Defensive Midfield,DM,€1.20m,Real Betis Balompié,Spain,€8.00m,Villarreal CF,2016
Cristian Espinoza,21,Argentina,Right Winger,RW,€3.50m,CA Huracán,Argentina,€7.20m,Villarreal CF,2016
Denis Cheryshev,25,Russia,Left Winger,LW,€1.50m,Real Madrid,Spain,€7.00m,Villarreal CF,2016
Álvaro González,26,Spain,Centre-Back,CB,€2.50m,RCD Espanyol Barcelona,Spain,€4.00m,Villarreal CF,2016
Alexandre Pato,26,Brazil,Centre-Forward,CF,€700k,Sport Club Corinthians Paulista,Brazil,€3.00m,Villarreal CF,2016
Akram Afif,19,Qatar,Left Winger,LW,€4.00m,Al-Sadd SC,Qatar,?,Villarreal CF,2016
Rodri,20,Spain,Defensive Midfield,DM,€80.00m,Villarreal CF B,Spain,-,Villarreal CF,2016
Adrián Marín,19,Spain,Left-Back,LB,€1.50m,Villarreal CF B,Spain,-,Villarreal CF,2016
Alfonso Pedraza,20,Spain,Left-Back,LB,€15.00m,Villarreal CF B,Spain,-,Villarreal CF,2016
Antonio Sanabria,20,Paraguay,Centre-Forward,CF,€7.00m,AS Roma,Italy,€7.50m,Real Betis Balompié,2016
Felipe Gutiérrez,25,Chile,Central Midfield,CM,€500k,Twente Enschede FC,Netherlands,€3.50m,Real Betis Balompié,2016
Aïssa Mandi,24,Algeria,Centre-Back,CB,€4.00m,Stade Reims,France,€2.80m,Real Betis Balompié,2016
Jonas Martin,26,France,Defensive Midfield,DM,€1.80m,Montpellier HSC,France,€2.60m,Real Betis Balompié,2016
Riza Durmisi,22,Denmark,Left-Back,LB,€500k,Bröndby IF,Denmark,€2.00m,Real Betis Balompié,2016
Darko Brasanac,24,Serbia,Central Midfield,CM,€2.00m,FK Partizan Belgrade,Serbia,€1.50m,Real Betis Balompié,2016
