player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,player_firstname,player_lastname,player_age,player_nationality,player_height,statistics_team_name,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_position,statistics_games_rating,statistics_substitutes_in,statistics_substitutes_out,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved
47404,V. Kravets,2019-01-13,2.0,537,Leganes,716.0,Lugo,2018.0,Vasyl,Kravets,26,Ukraine,183.0,Leganes,2018,6.0,6.0,484.0,Defender,6.766666,0.0,3.0,4.0,2.0,0.0,,,,125.0,6.0,74.0,11.0,1.0,4.0,66.0,33.0,10.0,7.0,,3.0,11.0,2.0,0.0,0.0,,,0.0,0.0,
755,Jaime Seoane,2020-08-04,,726,Huesca,716.0,Lugo,2020.0,Jaime,Seoane Valenciano,26,Spain,175.0,Huesca,2020,29.0,23.0,2065.0,Midfielder,6.668965,6.0,7.0,19.0,9.0,1.0,0.0,1.0,,845.0,11.0,22.0,50.0,6.0,18.0,269.0,129.0,34.0,20.0,,33.0,43.0,5.0,0.0,0.0,,,0.0,0.0,
47253,Ignasi Miquel,2017-12-07,0.5,535,Malaga,716.0,Lugo,2017.0,Ignasi,Miquel Pons,31,Spain,188.0,Malaga,2017,20.0,20.0,1775.0,Defender,6.7,0.0,1.0,9.0,1.0,0.0,,,,503.0,2.0,69.0,3.0,6.0,33.0,188.0,87.0,12.0,10.0,,14.0,41.0,5.0,0.0,1.0,,1.0,0.0,0.0,
46996,Álvaro Lemos,2016-07-05,,538,Celta Vigo,716.0,Lugo,2016.0,Álvaro,Lemos Collazo,30,Spain,175.0,Celta Vigo,2016,5.0,5.0,439.0,Defender,6.36,0.0,1.0,3.0,1.0,1.0,,,,112.0,1.0,63.0,,,10.0,53.0,21.0,6.0,3.0,,4.0,8.0,2.0,0.0,0.0,,,0.0,0.0,
47379,Jordi Calavera,2017-07-01,,545,Eibar,716.0,Lugo,2017.0,Jordi,Calavera Espinach,28,Spain,182.0,Eibar,2017,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
1565,Edgar González,2021-07-01,,543,Real Betis,718.0,Oviedo,2021.0,Edgar,González Estrada,26,Spain,193.0,Real Betis,2021,21.0,14.0,1457.0,Defender,6.890476,7.0,0.0,5.0,1.0,1.0,0.0,1.0,,902.0,3.0,39.0,25.0,11.0,23.0,131.0,69.0,4.0,4.0,,8.0,21.0,6.0,0.0,0.0,,,0.0,0.0,
1565,Edgar González,2021-07-01,,543,Real Betis,,Oviedo,2021.0,Edgar,González Estrada,26,Spain,193.0,Real Betis,2021,21.0,14.0,1457.0,Defender,6.890476,7.0,0.0,5.0,1.0,1.0,0.0,1.0,,902.0,3.0,39.0,25.0,11.0,23.0,131.0,69.0,4.0,4.0,,8.0,21.0,6.0,0.0,0.0,,,0.0,0.0,
46860,Javi Muñoz,2019-07-01,,542,Alaves,718.0,Oviedo,2019.0,Javier,Muñoz Jiménez,28,Spain,175.0,Alaves,2019,1.0,1.0,53.0,Midfielder,6.2,0.0,1.0,0.0,0.0,0.0,,,,10.0,0.0,71.0,,1.0,0.0,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
47491,Luismi,2020-08-04,,720,Valladolid,718.0,Oviedo,2020.0,Luis Miguel,Sánchez Benítez,31,Spain,180.0,Valladolid,2020,0.0,0.0,0.0,Midfielder,6.4,0.0,0.0,,,0.0,0.0,,,115.0,,10.0,4.0,,4.0,16.0,8.0,1.0,1.0,,1.0,6.0,0.0,0.0,0.0,,,0.0,0.0,
46807,Borja Valle,2016-07-01,0.0,544,Deportivo La Coruna,718.0,Oviedo,2016.0,Borja,Valle Balonga,31,Spain,177.0,Deportivo La Coruna,2016,7.0,1.0,201.0,Midfielder,6.416666,6.0,0.0,5.0,1.0,0.0,,,,37.0,2.0,65.0,,,2.0,42.0,16.0,7.0,3.0,,6.0,5.0,0.0,0.0,0.0,,,0.0,0.0,
47400,A. Lunin,2020-08-04,,541,Real Madrid,718.0,Oviedo,2020.0,Andrii,Lunin,24,Ukraine,191.0,Real Madrid,2020,0.0,0.0,0.0,Goalkeeper,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,1.0
761,Cristo González,2017-07-25,,541,Real Madrid,719.0,Tenerife,2017.0,Cristo Ramón,González Pérez,26,Spain,179.0,Real Madrid,2017,0.0,0.0,0.0,Attacker,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
47095,Nano,2016-08-29,3.2,545,Eibar,719.0,Tenerife,2016.0,Alexander,Mesa Travieso,27,Spain,178.0,Eibar,2016,6.0,1.0,158.0,Attacker,6.566666,5.0,1.0,7.0,3.0,1.0,,,,21.0,2.0,72.0,,,0.0,28.0,7.0,1.0,1.0,,3.0,8.0,0.0,0.0,0.0,,,0.0,0.0,
47084,F. Malbašić,2020-08-04,,724,Cadiz,719.0,Tenerife,2020.0,Filip,Malbašić,31,Serbia,182.0,Cadiz,2020,28.0,8.0,846.0,Attacker,6.432,20.0,6.0,7.0,1.0,0.0,0.0,1.0,,148.0,4.0,3.0,12.0,,4.0,139.0,46.0,13.0,7.0,,15.0,17.0,2.0,0.0,0.0,,,0.0,0.0,
36057,Ian González,2015-07-07,,546,Getafe,530.0,Atletico Madrid,2015.0,Ian,González Nieto,29,Spain,190.0,Getafe,2015,1.0,0.0,13.0,Attacker,6.7,1.0,0.0,1.0,,0.0,0.0,,,10.0,1.0,9.0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
199,Šime Vrsaljko,2019-07-01,,530,Atletico Madrid,505.0,Inter,2019.0,Šime,Vrsaljko,30,Croatia,181.0,Atletico Madrid,2019,5.0,4.0,363.0,Defender,7.14,1.0,2.0,0.0,0.0,0.0,,1.0,,88.0,3.0,65.0,6.0,3.0,8.0,,,0.0,0.0,,3.0,7.0,3.0,0.0,0.0,,,0.0,0.0,
199,Šime Vrsaljko,2016-07-05,17.0,530,Atletico Madrid,488.0,Sassuolo,2016.0,Šime,Vrsaljko,30,Croatia,181.0,Atletico Madrid,2016,14.0,11.0,923.0,Defender,6.915384,3.0,2.0,3.0,0.0,0.0,,,,217.0,5.0,71.0,,,32.0,115.0,65.0,12.0,9.0,,9.0,22.0,2.0,0.0,0.0,,,0.0,0.0,
57,N. Kalinić,2018-08-09,15.0,530,Atletico Madrid,489.0,AC Milan,2018.0,Nikola,Kalinić,35,Croatia,187.0,Atletico Madrid,2018,17.0,7.0,640.0,Attacker,6.63125,10.0,7.0,9.0,5.0,2.0,,,,61.0,4.0,53.0,4.0,0.0,2.0,76.0,32.0,3.0,0.0,,9.0,14.0,3.0,0.0,0.0,,,0.0,0.0,
932,D. Wass,2022-01-27,2.7,530,Atletico Madrid,532.0,Valencia,2021.0,Daniel,Wass,34,Denmark,181.0,Atletico Madrid,2021,1.0,0.0,44.0,Midfielder,6.7,1.0,0.0,,,0.0,0.0,,,17.0,,13.0,,,,5.0,2.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,,,0.0,0.0,
13062,Léo Baptistão,2016-07-09,,540,Espanyol,530.0,Atletico Madrid,2016.0,Leonardo,Carrilho Baptistão,31,Brazil,185.0,Espanyol,2016,21.0,16.0,1428.0,Attacker,6.928571,5.0,9.0,34.0,21.0,6.0,,4.0,,254.0,14.0,68.0,,,12.0,228.0,96.0,47.0,19.0,,42.0,21.0,1.0,0.0,0.0,,,0.0,0.0,
13062,Léo Baptistão,2015-07-08,,533,Villarreal,530.0,Atletico Madrid,2015.0,Leonardo,Carrilho Baptistão,31,Brazil,185.0,Villarreal,2015,26.0,12.0,1256.0,Attacker,6.680769,14.0,7.0,30.0,9.0,3.0,0.0,1.0,,272.0,7.0,54.0,15.0,2.0,6.0,240.0,95.0,50.0,22.0,,37.0,22.0,1.0,0.0,0.0,,,0.0,0.0,
37,N. Pérez,2021-07-01,,530,Atletico Madrid,715.0,Granada CF,2021.0,Patricio Nehuén,Pérez,23,Argentina,185.0,Atletico Madrid,2021,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
37,N. Pérez,2020-08-03,,530,Atletico Madrid,242.0,Famalicao,2020.0,Patricio Nehuén,Pérez,23,Argentina,185.0,Atletico Madrid,2020,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
37,N. Pérez,2019-01-31,,530,Atletico Madrid,458.0,Argentinos JRS,2018.0,Patricio Nehuén,Pérez,23,Argentina,185.0,Atletico Madrid,2018,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
37,N. Pérez,2018-07-03,3.0,530,Atletico Madrid,458.0,Argentinos JRS,2018.0,Patricio Nehuén,Pérez,23,Argentina,185.0,Atletico Madrid,2018,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
1165,Matheus Cunha,2021-08-25,,530,Atletico Madrid,159.0,Hertha Berlin,2021.0,Matheus Santos,Carneiro da Cunha,24,Brazil,184.0,Atletico Madrid,2021,29.0,8.0,1050.0,Attacker,6.844827,21.0,8.0,30.0,15.0,6.0,0.0,4.0,,207.0,8.0,5.0,19.0,2.0,5.0,198.0,72.0,12.0,7.0,,26.0,22.0,3.0,0.0,0.0,,,0.0,0.0,
54,Diego Costa,2018-01-01,66.0,530,Atletico Madrid,49.0,Chelsea,2017.0,Diego,da Silva Costa,35,Spain,188.0,Atletico Madrid,2017,15.0,13.0,1048.0,Attacker,6.793333,2.0,8.0,25.0,10.0,3.0,,3.0,,236.0,13.0,75.0,2.0,1.0,5.0,199.0,76.0,32.0,15.0,,19.0,22.0,7.0,1.0,0.0,1.0,,0.0,0.0,
10122,Renan Lodi,2019-07-01,20.0,530,Atletico Madrid,134.0,Atletico Paranaense,2019.0,Renan Augusto,Lodi dos Santos,25,Brazil,173.0,Atletico Madrid,2019,32.0,28.0,2399.0,Defender,6.929032,4.0,6.0,18.0,3.0,1.0,,2.0,,678.0,20.0,75.0,65.0,7.0,41.0,87.0,45.0,29.0,16.0,,44.0,42.0,5.0,1.0,0.0,,,0.0,0.0,
371,Felipe,2019-07-01,20.0,530,Atletico Madrid,212.0,FC Porto,2019.0,Felipe Augusto,de Almeida Monteiro,34,Brazil,190.0,Atletico Madrid,2019,25.0,23.0,2099.0,Defender,7.0,2.0,0.0,16.0,5.0,1.0,,,,673.0,4.0,72.0,26.0,11.0,42.0,26.0,16.0,6.0,4.0,,14.0,29.0,7.0,0.0,0.0,,1.0,0.0,0.0,
41485,André Moreira,2016-08-16,,530,Atletico Madrid,221.0,Belenenses,2016.0,André,Campos Moreira,28,Portugal,194.0,Atletico Madrid,2016,0.0,0.0,0.0,Goalkeeper,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
19036,L. Vietto,2017-07-01,,530,Atletico Madrid,536.0,Sevilla,2017.0,Luciano Darío,Vietto Martín,30,Argentina,174.0,Atletico Madrid,2017,6.0,4.0,271.0,Attacker,6.65,2.0,4.0,8.0,1.0,0.0,,,,68.0,1.0,82.0,,,3.0,43.0,17.0,11.0,4.0,,7.0,4.0,1.0,0.0,0.0,,,0.0,0.0,
19036,L. Vietto,2015-07-07,20.0,530,Atletico Madrid,533.0,Villarreal,2015.0,Luciano Darío,Vietto Martín,30,Argentina,174.0,Atletico Madrid,2015,19.0,12.0,964.0,Attacker,6.810526,7.0,11.0,24.0,6.0,1.0,0.0,3.0,,304.0,14.0,60.0,13.0,1.0,3.0,120.0,51.0,25.0,11.0,,22.0,13.0,3.0,0.0,0.0,,,0.0,0.0,
47415,Rubén Pérez,2015-08-07,,715,Granada CF,530.0,Atletico Madrid,2015.0,Rubén Salvador,Pérez Del Mármol,34,Spain,178.0,Granada CF,2015,31.0,30.0,2484.0,Midfielder,6.987096,1.0,11.0,15.0,2.0,0.0,0.0,2.0,,1114.0,23.0,67.0,109.0,11.0,68.0,358.0,194.0,30.0,22.0,,32.0,45.0,17.0,0.0,0.0,,,0.0,0.0,
41595,I. Šaponjić,2021-07-01,,530,Atletico Madrid,724.0,Cadiz,2021.0,Ivan,Šaponjić,26,Serbia,190.0,Atletico Madrid,2021,0.0,0.0,0.0,Attacker,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
41595,I. Šaponjić,2019-07-08,0.5,530,Atletico Madrid,211.0,Benfica,2019.0,Ivan,Šaponjić,26,Serbia,190.0,Atletico Madrid,2019,2.0,0.0,4.0,Attacker,6.25,2.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
3424,B. Mensah,2016-06-01,,530,Atletico Madrid,546.0,Getafe,2016.0,Bernard,Mensah,29,Ghana,181.0,Atletico Madrid,2016,0.0,0.0,0.0,Midfielder,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
47282,Raúl García,2015-08-31,,531,Athletic Club,530.0,Atletico Madrid,2015.0,Raúl,García Escudero,37,Spain,184.0,Athletic Club,2015,30.0,27.0,2375.0,Midfielder,7.113333,3.0,9.0,67.0,20.0,7.0,0.0,6.0,,677.0,25.0,48.0,68.0,2.0,34.0,507.0,259.0,28.0,11.0,,76.0,70.0,10.0,0.0,0.0,1.0,,0.0,0.0,
104793,A. Ndiaye,2017-08-10,3.0,546,Getafe,530.0,Atletico Madrid,2017.0,Amath,Ndiaye Diedhiou,27,Senegal,173.0,Getafe,2017,37.0,36.0,2884.0,Attacker,6.464864,1.0,26.0,42.0,13.0,3.0,,3.0,,380.0,23.0,68.0,12.0,1.0,33.0,504.0,202.0,98.0,43.0,,62.0,72.0,9.0,0.0,0.0,,,0.0,0.0,
385,Óliver Torres,2015-07-01,,530,Atletico Madrid,212.0,FC Porto,2015.0,Óliver,Torres Muñoz,29,Spain,178.0,Atletico Madrid,2015,21.0,9.0,813.0,Midfielder,6.66,12.0,9.0,8.0,2.0,0.0,0.0,2.0,,443.0,17.0,55.0,22.0,1.0,12.0,120.0,48.0,19.0,13.0,,10.0,11.0,2.0,0.0,0.0,,,0.0,0.0,
48,Saúl,2022-07-01,,530,Atletico Madrid,49.0,Chelsea,2022.0,Saúl,Ñíguez Esclapez,29,Spain,184.0,Atletico Madrid,2022,31.0,11.0,1086.0,Midfielder,6.803571,20.0,6.0,14.0,9.0,3.0,0.0,1.0,,484.0,6.0,13.0,43.0,5.0,15.0,180.0,99.0,14.0,12.0,,5.0,34.0,8.0,0.0,0.0,,,0.0,0.0,
336594,Pablo Barrios,2022-02-16,,530,Atletico Madrid,9570.0,Atlético Madrid II,2021.0,Pablo,Barrios Rivas,20,Spain,181.0,Atletico Madrid,2021,0.0,0.0,0.0,Midfielder,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
