,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
0,136,Piqué,Gerard,Piqué Bernabéu,35,1987-02-02,Barcelona,Spain,Spain,194 cm,85 kg,False,https://media-1.api-sports.io/football/players/136.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,18.0,18.0,1485.0,,Defender,6.983333,False,0.0,5.0,2.0,7.0,2.0,0.0,0.0,,,1239.0,2.0,64.0,16.0,4.0,26.0,124.0,84.0,2.0,2.0,,5.0,13.0,4.0,0.0,0.0,,,0.0,0.0,
1,1447,Nacho Monreal,Ignacio,Monreal Eraso,36,1986-02-26,Pamplona,Spain,Spain,179 cm,72 kg,False,https://media-3.api-sports.io/football/players/1447.png,548,Real Sociedad,https://media-1.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,26.0,23.0,2082.0,,Defender,6.819230,False,3.0,3.0,9.0,9.0,1.0,1.0,0.0,1.0,,974.0,11.0,30.0,32.0,3.0,32.0,174.0,88.0,11.0,8.0,,16.0,25.0,1.0,0.0,0.0,,,0.0,0.0,
2,1560,Barragán,Antonio,Barragán Fernández,35,1987-06-12,Pontedeume,Spain,Spain,182 cm,76 kg,False,https://media-2.api-sports.io/football/players/1560.png,797,Elche,https://media-1.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,27.0,26.0,2238.0,,Defender,6.811111,False,1.0,4.0,6.0,5.0,,0.0,0.0,3.0,,1110.0,10.0,35.0,28.0,8.0,32.0,171.0,96.0,15.0,10.0,,25.0,35.0,8.0,0.0,0.0,,,0.0,0.0,
3,2041,J. Gnagnon,Joris,Gnagnon,25,1997-01-13,Bondy,France,France,182 cm,89 kg,False,https://media-1.api-sports.io/football/players/2041.png,536,Sevilla,https://media-3.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2020,0.0,0.0,0.0,,Defender,,False,0.0,0.0,15.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
4,12541,José Jurado,José Manuel,Jurado Marín,34,1986-06-29,Sanlúcar de Barrameda,Spain,Spain,173 cm,72 kg,False,https://media-3.api-sports.io/football/players/12541.png,724,Cadiz,https://media-2.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2020,0.0,0.0,0.0,,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
5,13114,A. Fernández,Augusto Matías,Fernández,35,1986-04-10,Pergamino,Argentina,Argentina,177 cm,73 kg,False,https://media-1.api-sports.io/football/players/13114.png,724,Cadiz,https://media-3.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2020,12.0,4.0,366.0,,Midfielder,6.350000,False,8.0,4.0,19.0,,,0.0,0.0,,,118.0,,7.0,11.0,1.0,9.0,44.0,19.0,3.0,2.0,,2.0,5.0,1.0,0.0,0.0,,,0.0,0.0,
6,19533,Jota Peleteiro,José Ignacio,Peleteiro Ramallo,30,1991-06-16,Vigo,Spain,Spain,180 cm,70 kg,False,https://media-2.api-sports.io/football/players/19533.png,542,Alaves,https://media-3.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,23.0,18.0,1406.0,,Midfielder,6.523809,False,5.0,12.0,12.0,6.0,2.0,0.0,0.0,2.0,,456.0,17.0,16.0,18.0,,9.0,128.0,43.0,36.0,17.0,,4.0,18.0,4.0,1.0,0.0,,,0.0,0.0,
7,46647,Rubén Iván Martínez Andrade,Rubén Iván,Martínez Andrade,38,1984-06-22,Coristanco,Spain,Spain,188 cm,79 kg,False,https://media-1.api-sports.io/football/players/46647.png,727,Osasuna,https://media-3.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,3.0,3.0,188.0,,Goalkeeper,5.066666,False,0.0,0.0,12.0,,,0.0,5.0,,3.0,57.0,,13.0,,,,1.0,,,,,,1.0,0.0,0.0,1.0,,,0.0,0.0,1.0
8,46665,Iñigo Pérez,Iñigo,Pérez Soto,34,1988-01-18,Pamplona,Spain,Spain,178 cm,74 kg,False,https://media-2.api-sports.io/football/players/46665.png,727,Osasuna,https://media-2.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,22.0,16.0,1352.0,,Midfielder,6.680000,False,6.0,8.0,11.0,6.0,2.0,0.0,0.0,,,561.0,14.0,18.0,20.0,,15.0,102.0,44.0,3.0,2.0,,11.0,15.0,3.0,1.0,0.0,,,0.0,0.0,
9,46685,R. Azeez,Ramon Olamilekan,Azeez,29,1992-12-12,Abuja,Nigeria,Nigeria,169 cm,67 kg,False,https://media-3.api-sports.io/football/players/46685.png,715,Granada CF,https://media-3.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,2.0,1.0,100.0,,Midfielder,6.250000,False,1.0,0.0,10.0,1.0,,0.0,0.0,,,35.0,,14.0,1.0,,1.0,8.0,6.0,,,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
