player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,transfers_window,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,statistics_team_id,statistics_team_name,statistics_team_logo,statistics_league_id,statistics_league_name,statistics_league_country,statistics_league_logo,statistics_league_flag,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_number,statistics_games_position,statistics_games_rating,statistics_games_captain,statistics_substitutes_in,statistics_substitutes_out,statistics_substitutes_bench,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved,performance_metric,transfer_type
642,S. Agüero,2021-07-01,0.0,529,Barcelona,50.0,Manchester City,2021,Summer,Sergio Leonel,Agüero del Castillo,33,1988-06-02,Quilmes,Argentina,Argentina,173.0,70.0,0,https://media-3.api-sports.io/football/players/642.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2021,4.0,2.0,151.0,NULL,Attacker,6.9,0,2.0,1.0,2.0,5.0,1.0,1.0,0.0,NULL,NULL,39.0,1.0,9.0,1.0,NULL,NULL,14.0,7.0,2.0,1.0,NULL,2.0,1.0,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.2384648152114419,Foreign
36848,Aitor Cantalapiedra,2016-07-01,NULL,533,Villarreal,529.0,Barcelona,2016,Summer,Aitor,Cantalapiedra Fernández,27,1996-02-10,Barcelona,Spain,Spain,177.0,67.0,0,https://media-1.api-sports.io/football/players/36848.png,533,Villarreal,https://media-1.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2016,1.0,0.0,3.0,NULL,Attacker,NULL,0,1.0,0.0,2.0,0.0,0.0,0.0,NULL,NULL,NULL,0.0,0.0,0.0,NULL,NULL,0.0,2.0,0.0,0.0,0.0,NULL,0.0,1.0,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.0,Spanish
619,Eric García,2021-07-01,0.0,529,Barcelona,50.0,Manchester City,2021,Summer,Eric,García Martret,22,2001-01-09,NULL,Spain,Spain,182.0,76.0,0,https://media-2.api-sports.io/football/players/619.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2021,26.0,23.0,2043.0,NULL,Defender,6.876923,0,3.0,6.0,10.0,4.0,4.0,0.0,0.0,NULL,NULL,1672.0,4.0,59.0,27.0,12.0,44.0,137.0,66.0,3.0,2.0,NULL,5.0,34.0,5.0,0.0,1.0,NULL,NULL,0.0,0.0,NULL,0.29162067560829974,Foreign
931,Ferran Torres,2022-01-11,55.0,529,Barcelona,50.0,Manchester City,2021,Winter,Ferran,Torres García,23,2000-02-29,Foios,Spain,Spain,184.0,77.0,0,https://media-3.api-sports.io/football/players/931.png,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2021,18.0,17.0,1417.0,NULL,Attacker,7.027777,0,1.0,7.0,1.0,40.0,19.0,4.0,0.0,4.0,NULL,572.0,12.0,26.0,10.0,3.0,6.0,125.0,55.0,37.0,13.0,NULL,20.0,9.0,1.0,0.0,0.0,NULL,NULL,1.0,0.0,NULL,0.32036781225913996,Foreign
1496,Raphinha,2022-07-15,58.0,529,Barcelona,63.0,Leeds,2022,Summer,Raphael,Dias Belloli,27,1996-12-14,Porto Alegre,Brazil,Brazil,176.0,68.0,0,https://media-1.api-sports.io/football/players/1496.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2022,36.0,25.0,2083.0,NULL,Attacker,7.275,0,11.0,23.0,12.0,58.0,25.0,7.0,0.0,7.0,NULL,1044.0,58.0,23.0,29.0,1.0,13.0,249.0,124.0,96.0,44.0,NULL,37.0,22.0,8.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.4469118485818091,Foreign
162712,Óscar Mingueza,2022-08-02,0.0,538,Celta Vigo,529.0,Barcelona,2022,Summer,Óscar,Mingueza García,24,1999-05-13,Santa Perpetua de Mogoda,Spain,Spain,184.0,75.0,0,https://media-3.api-sports.io/football/players/162712.png,538,Celta Vigo,https://media-1.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,21.0,13.0,1281.0,NULL,Defender,6.7,0,8.0,5.0,14.0,4.0,NULL,0.0,0.0,NULL,NULL,749.0,11.0,29.0,37.0,4.0,12.0,114.0,65.0,19.0,12.0,NULL,8.0,19.0,2.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.27525944623123305,Spanish
151,A. Vidal,2018-08-03,18.0,529,Barcelona,157.0,Bayern Munich,2018,Summer,Arturo Erasmo,Vidal Pardo,36,1987-05-22,Santiago de Chile,Chile,Chile,180.0,75.0,0,https://media-2.api-sports.io/football/players/151.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2018,33.0,22.0,1928.0,NULL,Midfielder,7.0375,0,11.0,11.0,15.0,22.0,7.0,3.0,NULL,7.0,NULL,1291.0,21.0,87.0,42.0,5.0,26.0,281.0,146.0,8.0,5.0,NULL,30.0,55.0,7.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.3914407517315722,Foreign
1642,F. Kessié,2022-07-04,0.0,529,Barcelona,489.0,AC Milan,2022,Summer,Franck Yannick,Kessié,27,1996-12-19,Ouragahio,Côte d'Ivoire,Côte d'Ivoire,183.0,74.0,0,https://media-3.api-sports.io/football/players/1642.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2022,28.0,7.0,976.0,NULL,Midfielder,6.611538,0,21.0,6.0,28.0,9.0,3.0,1.0,0.0,1.0,NULL,445.0,8.0,14.0,15.0,2.0,12.0,96.0,46.0,14.0,8.0,NULL,16.0,17.0,4.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.2662571920392814,Foreign
1257,J. Koundé,2022-07-28,50.0,529,Barcelona,536.0,Sevilla,2022,Summer,Jules Olivier,Koundé,25,1998-11-12,Paris,France,France,180.0,75.0,0,https://media-3.api-sports.io/football/players/1257.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,29.0,28.0,2429.0,NULL,Defender,7.113793,0,1.0,4.0,3.0,11.0,2.0,1.0,0.0,3.0,NULL,1852.0,16.0,56.0,37.0,9.0,19.0,187.0,108.0,25.0,16.0,NULL,12.0,22.0,2.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.3321065357653916,Spanish
153,O. Dembélé,2017-08-25,105.0,529,Barcelona,165.0,Borussia Dortmund,2017,Summer,Masour Ousmane,Dembélé,26,1997-05-15,Vernon,France,France,178.0,67.0,0,https://media-3.api-sports.io/football/players/153.png,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2017,17.0,12.0,930.0,NULL,Attacker,6.935294,0,5.0,10.0,8.0,20.0,10.0,3.0,NULL,6.0,NULL,368.0,28.0,82.0,5.0,0.0,5.0,163.0,69.0,68.0,40.0,NULL,18.0,10.0,2.0,0.0,0.0,NULL,1.0,0.0,0.0,NULL,0.3410260774771606,Foreign
